   4.9 TEL | [24] captured in 0.09 secs.
   5.2 TEL | [25] Capturing: kubectl --context minikube --namespace default get pod new-service-8f65f5d7d-fk2xf -o json
   5.3 TEL | [25] captured in 0.08 secs.
   5.5 TEL | [26] Capturing: kubectl --context minikube --namespace default get pod new-service-8f65f5d7d-fk2xf -o json
   5.6 TEL | [26] captured in 0.11 secs.
   5.6 TEL | END SPAN remote.py:113(wait_for_pod)    3.9s
   5.6 TEL | END SPAN remote.py:151(get_remote_info)    4.1s
   5.6 TEL | BEGIN SPAN connect.py:36(connect)
   5.6 TEL | [27] Launching kubectl logs: kubectl --context minikube --namespace default logs -f new-service-8f65f5d7d-fk2xf --container new-service --tail=10
   5.6 TEL | [28] Launching kubectl port-forward: kubectl --context minikube --namespace default port-forward new-service-8f65f5d7d-fk2xf 43739:8022
   5.6 TEL | [29] Running: ssh -F /dev/null -oStrictHostKeyChecking=no -oUserKnownHostsFile=/dev/null -q -p 43739 telepresence@127.0.0.1 /bin/true
   5.6 TEL | [29] exit 255 in 0.01 secs.
   5.8  28 | Forwarding from 127.0.0.1:43739 -> 8022
   5.8  28 | Forwarding from [::1]:43739 -> 8022
   5.9 TEL | [30] Running: ssh -F /dev/null -oStrictHostKeyChecking=no -oUserKnownHostsFile=/dev/null -q -p 43739 telepresence@127.0.0.1 /bin/true
   5.9  28 | Handling connection for 43739
   6.7 TEL | [30] ran in 0.79 secs.
   6.7 >>> | Forwarding remote port 8081 to local port 8081.
   6.7 TEL | [31] Launching SSH port forward (exposed ports): ssh -N -oServerAliveInterval=1 -oServerAliveCountMax=10 -F /dev/null -oStrictHostKeyChecking=no -oUserKnownHostsFile=/dev/null -q -p 43739 telepresence@127.0.0.1 -R '*:8081:127.0.0.1:8081'
   6.7 >>> | 
   6.7 TEL | Launching Web server for proxy poll
   6.7 TEL | [32] Launching SSH port forward (socks and proxy poll): ssh -N -oServerAliveInterval=1 -oServerAliveCountMax=10 -F /dev/null -oStrictHostKeyChecking=no -oUserKnownHostsFile=/dev/null -q -p 43739 telepresence@127.0.0.1 -L127.0.0.1:44647:127.0.0.1:9050 -R9055:127.0.0.1:40649
   6.7  28 | Handling connection for 43739
   6.7 TEL | END SPAN connect.py:36(connect)    1.1s
   6.7  28 | Handling connection for 43739
   6.7 TEL | BEGIN SPAN remote_env.py:28(get_remote_env)
   6.7 TEL | [33] Capturing: kubectl --context minikube --namespace default exec new-service-8f65f5d7d-fk2xf --container new-service -- python3 podinfo.py
  10.5 TEL | [33] captured in 3.85 secs.
  10.5 TEL | END SPAN remote_env.py:28(get_remote_env)    3.9s
  10.6 TEL | BEGIN SPAN mount.py:32(mount_remote_volumes)
  10.6 TEL | [34] Running: sshfs -p 43739 -F /dev/null -oStrictHostKeyChecking=no -oUserKnownHostsFile=/dev/null telepresence@127.0.0.1:/ /tmp/tel-00tqntia/fs
  10.6  28 | Handling connection for 43739
  11.3 TEL | [34] ran in 0.79 secs.
  11.3 TEL | END SPAN mount.py:32(mount_remote_volumes)    0.8s
  11.3 TEL | BEGIN SPAN vpn.py:264(connect_sshuttle)
  11.3 TEL | BEGIN SPAN vpn.py:74(get_proxy_cidrs)
  11.3 TEL | END SPAN vpn.py:74(get_proxy_cidrs)    0.0s
  11.3 TEL | [35] Launching sshuttle: sshuttle-telepresence -v --dns --method nat -e 'ssh -F /dev/null -oStrictHostKeyChecking=no -oUserKnownHostsFile=/dev/null' -r telepresence@127.0.0.1:43739 --to-ns 127.0.0.1:9053 10.96.0.0/12
  11.4 TEL | BEGIN SPAN vpn.py:287(connect_sshuttle,sshuttle-wait)
  11.4 TEL | Wait for vpn-tcp connection: hellotelepresence-0
  11.4 TEL | [36] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-0")'
  11.5 TEL | [36] exit 1 in 0.13 secs.
  11.5 TEL | [37] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-0.a.sanity.check.telepresence.io")'
  11.6 TEL | [37] exit 1 in 0.12 secs.
  11.7  35 | Starting sshuttle proxy.
  11.7 TEL | Wait for vpn-tcp connection: hellotelepresence-1
  11.7 TEL | [38] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-1")'
  11.8 TEL | [38] exit 1 in 0.12 secs.
  11.8 TEL | [39] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-1.a.sanity.check.telepresence.io")'
  11.9 TEL | [39] exit 1 in 0.12 secs.
  12.0  35 | firewall manager: Starting firewall with Python version 3.6.7
  12.0  35 | firewall manager: ready method name nat.
  12.0  35 | IPv6 enabled: False
  12.0  35 | UDP enabled: False
  12.0  35 | DNS enabled: True
  12.0  35 | TCP redirector listening on ('127.0.0.1', 12300).
  12.0  35 | DNS listening on ('127.0.0.1', 12300).
  12.0  35 | Starting client with Python version 3.6.7
  12.0  35 | c : connecting to server...
  12.0  28 | Handling connection for 43739
  12.0 TEL | Wait for vpn-tcp connection: hellotelepresence-2
  12.0 TEL | [40] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-2")'
  12.1 TEL | [40] exit 1 in 0.12 secs.
  12.1 TEL | [41] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-2.a.sanity.check.telepresence.io")'
  12.2  35 | Warning: Permanently added '[127.0.0.1]:43739' (ECDSA) to the list of known hosts.
  12.3 TEL | [41] exit 1 in 0.12 secs.
  12.4 TEL | Wait for vpn-tcp connection: hellotelepresence-3
  12.4 TEL | [42] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-3")'
  12.5 TEL | [42] exit 1 in 0.12 secs.
  12.5 TEL | [43] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-3.a.sanity.check.telepresence.io")'
  12.6 TEL | [43] exit 1 in 0.12 secs.
  12.7 TEL | Wait for vpn-tcp connection: hellotelepresence-4
  12.7 TEL | [44] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-4")'
  12.9 TEL | [44] exit 1 in 0.17 secs.
  12.9 TEL | [45] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-4.a.sanity.check.telepresence.io")'
  13.0 TEL | [45] exit 1 in 0.12 secs.
  13.1 TEL | Wait for vpn-tcp connection: hellotelepresence-5
  13.1 TEL | [46] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-5")'
  13.3 TEL | [46] exit 1 in 0.17 secs.
  13.3 TEL | [47] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-5.a.sanity.check.telepresence.io")'
  13.4 TEL | [47] exit 1 in 0.12 secs.
  13.5 TEL | Wait for vpn-tcp connection: hellotelepresence-6
  13.5 TEL | [48] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-6")'
  13.6 TEL | [48] exit 1 in 0.12 secs.
  13.6 TEL | [49] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-6.a.sanity.check.telepresence.io")'
  13.7 TEL | [49] exit 1 in 0.12 secs.
  13.8 TEL | Wait for vpn-tcp connection: hellotelepresence-7
  13.8 TEL | [50] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-7")'
  13.9 TEL | [50] exit 1 in 0.12 secs.
  13.9 TEL | [51] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-7.a.sanity.check.telepresence.io")'
  14.0 TEL | [51] exit 1 in 0.12 secs.
  14.1 TEL | Wait for vpn-tcp connection: hellotelepresence-8
  14.1 TEL | [52] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-8")'
  14.2  35 | Starting server with Python version 3.6.8
  14.2  35 |  s: latency control setting = True
  14.3 TEL | [52] exit 1 in 0.12 secs.
  14.3 TEL | [53] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-8.a.sanity.check.telepresence.io")'
  14.4 TEL | [53] exit 1 in 0.12 secs.
  14.5 TEL | Wait for vpn-tcp connection: hellotelepresence-9
  14.5 TEL | [54] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-9")'
  14.6 TEL | [54] exit 1 in 0.12 secs.
  14.6 TEL | [55] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-9.a.sanity.check.telepresence.io")'
  14.7 TEL | [55] exit 1 in 0.12 secs.
  14.8 TEL | Wait for vpn-tcp connection: hellotelepresence-10
  14.8 TEL | [56] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-10")'
  14.9 TEL | [56] exit 1 in 0.12 secs.
  14.9 TEL | [57] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-10.a.sanity.check.telepresence.io")'
  15.1 TEL | [57] exit 1 in 0.12 secs.
  15.2 TEL | Wait for vpn-tcp connection: hellotelepresence-11
  15.2 TEL | [58] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-11")'
  15.3 TEL | [58] exit 1 in 0.12 secs.
  15.3 TEL | [59] Capturing: python3 -c 'import socket; socket.gethostbyname("hellotelepresence-11.a.sanity.check.telepresence.io")'
  15.3  35 |  s: available routes:
  15.3  35 |  s:   2/172.17.0.0/16
  15.3  35 | c : Connected.
  15.3  35 | firewall manager: setting up.
  15.3  35 | >> iptables -t nat -N sshuttle-12300
  15.3  35 | >> iptables -t nat -F sshuttle-12300
  15.3  35 | >> iptables -t nat -I OUTPUT 1 -j sshuttle-12300
  15.4  35 | >> iptables -t nat -I PREROUTING 1 -j sshuttle-12300
  15.4  35 | >> iptables -t nat -A sshuttle-12300 -j RETURN --dest 127.0.0.1/32 -p tcp
  15.4  35 | >> iptables -t nat -A sshuttle-12300 -j REDIRECT --dest 10.96.0.0/12 -p tcp --to-ports 12300 -m ttl ! --ttl 42
  15.4  35 | >> iptables -t nat -A sshuttle-12300 -j REDIRECT --dest 127.0.0.53/32 -p udp --dport 53 --to-ports 12300 -m ttl ! --ttl 42
  15.4  35 | >> iptables -t nat -A sshuttle-12300 -j REDIRECT --dest 224.0.0.252/32 -p udp --dport 5355 --to-ports 12300 -m ttl ! --ttl 42
